username,password,location
aglassis@outlook.com,abcd213,FR
formis@yahoo.ca,abcd213,FR
yenya@hotmail.com,abcd213,FR
chrisj@gmail.com,abcd213,FR
quantaman@verizon.net,abcd213,FR
larry@outlook.com,abcd213,FR
smartfart@hotmail.com,abcd213,FR
kourai@gmail.com,abcd213,FR
tattooman@att.net,abcd213,FR
msherr@gmail.com,abcd213,FR
singer@icloud.com,abcd213,FR
trieuvan@hotmail.com,abcd213,FR
babayaga.situ@up.coop,cpasecttsa,RU
samir.tavue@up.coop,vasyvasy,FR
ajlitt@live.com,abcd213,FR
hager@att.net,abcd213,FR
bartak@outlook.com,abcd213,FR
jkegl@yahoo.com,abcd213,FR
tmaek@msn.com,abcd213,FR
plover@live.com,abcd213,FR
magusnet@yahoo.ca,abcd213,FR
dexter@hotmail.com,abcd213,FR
parsimony@msn.com,abcd213,FR
portscan@att.net,abcd213,FR
noodles@att.net,abcd213,FR
juliano@verizon.net,abcd213,FR
